ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"116.118.48.140","elite","AS63760","VN","AZDIGI Corporation","195","N/A","33739","socks5","4791","1","2024-12-01T02:55:16.468Z","60","5140","8511"
"103.210.29.201","elite","AS134922","IN","R G TECHNOSOLUTIONS PVT LTD","181","R G Technosolutions PVT LTD","31433","socks4","435","2","2024-12-01T02:55:16.370Z","97","1746","1802"
"171.97.40.215","elite","AS17552","TH","True Internet Corporation CO. Ltd.","183","Truenet Hisp","8080","socks5","1900","1","2024-12-01T02:55:16.659Z","73","6103","8340"
"84.201.138.237","elite","AS200350","RU","Yandex enterprise network","78","Yandex LLC","1080","socks5","896","1","2024-12-01T02:55:16.566Z","56","1016","1803"
"45.166.246.1","elite","AS267973","BR","G.V.R. TELECOMUNICAÇÕES E SERVIÇOS LTDA - ME","296","Brasil G5 Telecomunicação LTDA","4153","socks4","989","1","2024-12-01T02:55:16.464Z","21","1811","8483"
"198.12.251.88","elite","AS398101","US","GoDaddy.com, LLC","139","GoDaddy.com, LLC","22231","socks4","2115","1","2024-12-01T02:55:16.567Z","100","1595","1596"
"196.2.13.12","elite","AS25429","BI","CBINET Burundi","194","Cbinet","4153","socks4","2285","4","2024-12-01T02:55:16.368Z","91","1632","1801"
"119.41.198.212","elite","AS4134","CN","Chinanet","281","Hainan TELECOM","8989","socks4","898","1","2024-12-01T02:55:16.463Z","60","955","1601"
"178.132.5.26","elite","AS49981","NL","WorldStream B.V.","11","Worldstream","16937","socks4","2309","1","2024-12-01T02:55:16.572Z","100","1254","1254"
"148.251.157.89","elite","AS24940","DE","Hetzner","17","CameloT e.K.","9050","socks4","996","1","2024-12-01T02:55:16.660Z","100","1567","1567"
"152.228.134.212","elite","AS16276","FR","OVH SAS","8","OVH","21658","socks4","528","2","2024-12-01T02:55:16.660Z","100","1809","1810"
"104.18.251.208","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","1011","1","2024-12-01T02:55:16.467Z","100","8425","8427"
"65.21.89.117","elite","AS24940","FI","Hetzner Online GmbH","38","Hetzner","42264","socks4","4392","1","2024-12-01T02:55:16.570Z","24","248","1018"
"1.84.218.183","elite","AS4134","CN","Chinanet","298","Chinanet SN","1081","socks5","2692","1","2024-12-01T02:55:16.657Z","15","1242","8476"
"182.53.129.81","elite","AS23969","TH","TOT Public Company Limited","156","TOT Public Company Limited","5678","socks4","2502","1","2024-12-01T02:55:16.566Z","50","4188","8374"
"112.194.89.99","elite","AS4837","CN","China Unicom CHINA169 Sichuan Province Network","203","N/A","44313","socks5","4207","1","2024-12-01T02:55:16.464Z","76","6463","8481"
"46.141.15.10","elite","AS49524","IT","Wolnet SRL","82","Wolnext srl","1080","socks4","1001","1","2024-12-01T02:55:16.571Z","99","1623","1633"
"104.18.103.125","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4903","1","2024-12-01T02:55:16.370Z","100","8442","8443"
"36.66.34.10","elite","AS7713","ID","PT. Telekomunikasi Indonesia","290","N/A","8080","socks4","1598","1","2024-12-01T02:55:16.372Z","98","8329","8518"
"115.127.2.230","elite","AS24342","BD","bracNet","173","BRAC BDMail Network Ltd","5678","socks4","358","1","2024-12-01T02:55:16.564Z","95","1699","1790"
"103.85.103.6","elite","AS135788","IN","Vedant Broadband","184","N/A","5678","socks4","4903","1","2024-12-01T02:55:16.371Z","99","1554","1570"
"45.67.230.130","elite","AS44477","RU","Stark Industries Solutions LTD","47","Stark Industries Solutions LTD","30001","socks4","4289","1","2024-12-01T02:55:16.565Z","94","1645","1751"
"36.93.138.74","elite","AS7713","ID","Telekomunikasi Indonesia","260","HSI Indihome","5678","socks4","2610","1","2024-12-01T02:54:38.762Z","97","1707","1763"
"43.157.53.134","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","12","Tencent Cloud Computing","443","socks4","559","94","2024-12-01T02:54:38.761Z","68","5789","8481"
"182.93.80.3","elite","AS4007","NP","SUBISU D2","180","N/A","8291","socks4","2896","1","2024-12-01T02:54:38.554Z","76","1330","1749"
"78.109.139.51","elite","AS43314","RU","JSC \"ER-Telecom Holding\"","100","JSC local network","5678","socks4","890","1","2024-12-01T02:54:38.561Z","98","8265","8403"
"197.245.36.213","elite","AS11845","ZA","Vox Telecom","185","Vox Telecom (Pty) Ltd","5678","socks4","1106","1","2024-12-01T02:54:38.563Z","80","6768","8505"
"124.105.29.181","elite","AS9299","PH","Philippine Long Distance Telephone Co.","308","Philstocks Financial, Inc.","13629","socks4","2507","1","2024-12-01T02:54:38.472Z","98","8348","8486"
"202.159.35.97","elite","AS9340","ID","PT IndoInternet","191","N/A","443","socks4","4308","1","2024-12-01T02:54:38.560Z","99","8330","8448"
"202.91.186.129","elite","AS4808","CN","China Unicom Beijing Province Network","285","Beijing Sunway Xunteng Technology Development Co., Ltd","4145","socks4","4103","1","2024-12-01T02:54:38.763Z","93","7798","8414"
"177.12.178.37","elite","AS263033","BR","Linxbr Telecomunicacoes Ltda","192","Linkli Telecomunicacoes Ltda","4153","socks4","338","1","2024-12-01T02:54:38.563Z","96","8239","8552"
"178.154.228.16","elite","AS200350","RU","Yandex Cloud","49","N/A","9050","socks4","1608","1","2024-12-01T02:54:38.471Z","100","8517","8520"
"198.89.91.198","elite","AS21299","KZ","Kar-Tel LLC","85","Kar-Tel LLC","5678","socks4","482","1","2024-12-01T02:54:38.566Z","88","7537","8541"
"61.160.247.69","elite","AS140293","CN","China Telecom","177","Chinanet JS","9999","http","577","21196","2024-12-01T02:54:38.557Z","100","51","51"
"177.21.206.184","elite","AS28667","BR","Network Telecomunicacoes S.A.","181","Network Telecomunicacoes S.A","4145","socks4","2007","1","2024-12-01T02:54:38.564Z","58","4956","8559"
"149.20.253.52","elite","AS18615","US","Mainstream Fiber Networks, LLC","94","Mainstream Fiber Networks, LLC","12551","socks4","3490","1","2024-12-01T02:54:38.765Z","100","8551","8569"
"147.45.43.59","elite","AS210644","NL","Aeza International LTD","82","Aeza International LTD","34696","socks4","2100","1","2024-12-01T02:54:38.766Z","100","917","917"
"93.170.123.5","elite","AS212913","UA","FOP Hornostay Mykhaylo Ivanovych","51","PE Gornostay Mikhailo Ivanovich","1080","socks4","2594","1","2024-12-01T02:54:38.762Z","90","1115","1242"
"110.34.166.179","elite","AS35908","SG","Krypt Technologies","164","N/A","4153","socks4","742","1","2024-12-01T02:54:38.471Z","99","8445","8509"
"168.227.143.64","elite","AS263735","US","Sociedad Buena Hosting","89","Global Digital DC","10086","socks5","2433","1","2024-12-01T02:54:38.564Z","96","8163","8466"
"62.109.31.192","elite","AS29182","RU","Cjsc the First","47","TheFirst","20000","socks5","35","1","2024-12-01T02:54:38.565Z","100","43","43"
"51.68.87.73","elite","AS16276","FR","OVH SAS","87","OVH","45177","socks4","3579","1","2024-12-01T02:54:38.764Z","100","8465","8468"
"103.133.222.170","elite","AS137331","ID","PT Cloud Teknologi Nusantara","206","PT Cloud Teknologi Nusantara","443","socks4","1187","1","2024-12-01T02:54:11.958Z","77","1359","1757"
"120.79.112.57","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","209","Aliyun Computing Co., LTD","61281","socks4","1206","1","2024-12-01T02:54:11.372Z","96","1680","1753"
"192.119.203.124","elite","AS30036","US","Mediacom Communications","161","Communication Construction Services","48678","socks4","3206","1","2024-12-01T02:54:11.566Z","99","8401","8470"
"51.79.170.92","elite","AS16276","SG","OVH SAS","190","OVH Singapore PTE. LTD","80","http","470","36993","2024-12-01T02:54:11.460Z","99","103","104"
"43.249.68.245","elite","AS38794","TH","United Information Highway Co., Ltd.","179","BB BROADBAND CO., LTD.","1080","socks4","2011","1","2024-12-01T02:54:11.369Z","89","7530","8465"
"206.189.186.59","elite","AS14061","US","DigitalOcean, LLC","89","DigitalOcean, LLC","8080","socks4","4307","1","2024-12-01T02:54:11.568Z","100","1003","1003"
"162.55.87.48","elite","AS24940","DE","Hetzner Online GmbH","17","Hetzner","5566","socks4","683","1","2024-12-01T02:54:11.958Z","87","1557","1799"
"181.13.198.90","elite","AS7303","AR","Telecom Argentina S.A","288","Video Drome Sociedad Anonima","4153","socks4","4103","1","2024-12-01T02:54:11.567Z","99","1779","1791"
"45.196.144.152","elite","AS7018","US","AT&T Services, Inc.","99","AQUA Networks Limited","5432","socks4","2135","1","2024-12-01T02:54:11.558Z","99","8328","8445"
"49.49.141.249","elite","AS45758","TH","Triple T Broadband Public Company Limited","181","Triple T Broadband Public Company Limited","8080","socks5","1198","1","2024-12-01T02:54:11.562Z","100","1623","1629"
"103.94.133.90","elite","AS136128","ID","PT CITRA AKSES INDONUSA","191","PT CITRA AKSES INDONUSA","4153","socks4","72","1","2024-12-01T02:54:11.956Z","98","8348","8535"
"157.245.82.62","elite","AS14061","US","DigitalOcean, LLC","90","DigitalOcean, LLC","59347","socks5","3797","1","2024-12-01T02:54:11.961Z","97","8137","8414"
"185.32.6.121","elite","AS60645","PL","AS Consulting Sp. z o. o.","43","Data center","4153","socks4","2076","1","2024-12-01T02:54:11.467Z","99","8453","8542"
"36.66.16.23","elite","AS7713","ID","PT. Telekomunikasi Indonesia","284","N/A","5678","socks4","1001","1","2024-12-01T02:54:11.960Z","31","2646","8508"
"121.13.252.58","elite","AS4134","CN","Chinanet","198","Chinanet GD","61401","socks4","4491","1","2024-12-01T02:54:11.565Z","90","7635","8511"
"62.220.112.137","elite","AS42337","IR","Respina Networks & Beyond PJSC","140","Respina","5678","socks4","1594","1","2024-12-01T02:54:11.653Z","72","6103","8533"
"181.6.75.5","elite","AS7303","AR","Telecom Argentina S.A.","299","Telecom Personal Bs","1080","socks5","3795","1","2024-12-01T02:54:11.564Z","37","623","1680"
"66.228.37.252","elite","AS63949","US","Akamai Technologies, Inc.","99","Linode","48487","socks4","984","1","2024-12-01T02:54:11.554Z","100","1326","1326"
"93.91.148.34","elite","AS47232","CZ","ISP Alliance a.s.","31","GRAPE SC","9898","socks4","2702","1","2024-12-01T02:54:11.559Z","90","1202","1329"
"192.111.137.34","elite","AS46562","US","Total Server Solutions L.L.C.","192","Sharktek Consulting LLC","18765","socks4","1388","1","2024-12-01T02:54:11.466Z","99","1603","1619"
"36.95.56.66","elite","AS7713","ID","PT. Telekomunikasi Indonesia","293","Telekomunikasi Indonesia","5678","socks4","3599","1","2024-12-01T02:54:11.564Z","98","8196","8340"
"49.48.147.64","elite","AS45629","TH","Triple T Broadband Public Company Limited","190","Triple T Broadband Public Company Limited","8080","socks4","5207","1","2024-12-01T02:54:11.556Z","98","8279","8478"
